bloque,seccion,moneda,regimen,codigo_sdde,etiqueta
imae_ciiu,TOTAL,,,95087,IMAE general (base 2017). Nivel
imae_ciiu,A,,,95088,"Agricultura, silvicultura y pesca. Nivel"
imae_ciiu,B,,,95104,Extracción de minas y canteras. Nivel
imae_ciiu,C,,,95105,Industria manufacturera. Nivel
imae_ciiu,DE,,,95137,"Electricidad, agua y servicios de saneamiento. Nivel"
imae_ciiu,F,,,95138,Construcción. Nivel
imae_ciiu,G,,,95141,Comercio. Nivel
imae_ciiu,H,,,95150,"Transporte, almacenamiento. Nivel"
imae_ciiu,I,,,95151,Actividades de alojamiento y servicios de comida. Nivel
imae_ciiu,J,,,95152,Información y comunicaciones. Nivel
imae_ciiu,K,,,95153,Actividades financieras y de seguros. Nivel
imae_ciiu,L,,,95154,Actividades inmobiliarias. Nivel
imae_ciiu,MN,,,95155,"Profesional, científico, técnico, administrativo y servicios de apoyo. Nivel"
imae_ciiu,O,,,95156,Administración pública y planes de seguridad social. Nivel
imae_ciiu,PQ,,,95157,Enseñanza y actividades de la salud humana. Nivel
imae_ciiu,RS,,,95158,Otras actividades. Nivel
imae_regimen,,,DEFINITIVO,95106,Régimen Definitivo. Nivel (base 2017)
imae_regimen,,,ESPECIAL,95113,Regímenes Especiales. Nivel (base 2017)
exports,,,DEFINITIVO,41320,Exportaciones FOB Régimen Definitivo (USD mensual)
exports,,,ESPECIAL,41322,Exportaciones FOB Régimen Especial (USD mensual)
imports,,,DEFINITIVO,41331,Importaciones CIF Régimen Definitivo (USD mensual)
imports,,,ESPECIAL,41332,Importaciones CIF Régimen Especial (USD mensual)
ipx,,,DEFINITIVO,82543,Índice precios exportaciones Régimen Definitivo
credit_sbn,TOTAL,MN,,20579,TOTAL Préstamos OSD al sector privado — hipótesis MN
credit_sbn,TOTAL,ME,,20578,TOTAL Préstamos OSD al sector privado — hipótesis ME
credit_sbn,AGRO,MN,,19985,"Agricultura, ganadería, silvicultura, caza y pesca — hipótesis MN"
credit_sbn,AGRO,ME,,19984,"Agricultura, ganadería, silvicultura, caza y pesca — hipótesis ME"
credit_sbn,CONSTRUCCION,MN,,20079,Construcción — hipótesis MN
credit_sbn,CONSTRUCCION,ME,,20080,Construcción — hipótesis ME
credit_sbn,OTRAS_INDUSTRIAS,MN,,20333,Otras Industrias — hipótesis MN (leaf)
credit_sbn,OTRAS_INDUSTRIAS,ME,,20334,Otras Industrias — hipótesis ME (leaf)
credit_sbn,COMERCIO_REST_HOT,MN,,20077,"Comercio, restaurantes y hoteles — hipótesis MN"
credit_sbn,COMERCIO_REST_HOT,ME,,20078,"Comercio, restaurantes y hoteles — hipótesis ME"
credit_sbn,TRANSP_COMUNIC,MN,,20667,"Transporte, almacenamiento y comunicaciones — hipótesis MN"
credit_sbn,TRANSP_COMUNIC,ME,,20668,"Transporte, almacenamiento y comunicaciones — hipótesis ME"
credit_sbn,OTROS_SERVICIOS,MN,,20501,Otros servicios — hipótesis MN
credit_sbn,OTROS_SERVICIOS,ME,,20502,Otros servicios — hipótesis ME
credit_sbn,VIVIENDA,MN,,20755,Vivienda — hipótesis MN
credit_sbn,VIVIENDA,ME,,20756,Vivienda — hipótesis ME
credit_sbn,OTROS_CONSUMOS,MN,,20437,Otros Consumos — hipótesis MN (leaf)
credit_sbn,OTROS_CONSUMOS,ME,,20438,Otros Consumos — hipótesis ME (leaf)
credit_sbn,TARJETAS,MN,,20653,Tarjetas de crédito — hipótesis MN (leaf)
credit_sbn,TARJETAS,ME,,20654,Tarjetas de crédito — hipótesis ME (leaf)
credit_sbn,OTROS_PRESTAMOS,MN,,20488,Otros préstamos no clasificados — hipótesis MN
credit_sbn,OTROS_PRESTAMOS,ME,,20489,Otros préstamos no clasificados — hipótesis ME
credit_total_agregado,,CRC,,4814,Crédito sector privado en colones (validación cruzada)
