codigo,nombre,descripcion,cuenta,periodo,unidad,medida,Unidad,Medida,freq,familia,node,DESCRIPCION
19984,"Agricultura, ganadería silvicultura, caza y pesca","Agricultura, ganadería silvicultura, caza y pesca",E07.35.03.00.00.00.00.00.00.M.CRC,Mensual,CRC,4,Colón Costarricense,Millones,M,M.CRC,"Node('/BCCR/Sector Monetario y Financiero/PRESTAMOS DE LAS OTRAS SOCIEDADES DE DEPÓSITO AL SECTOR PRIV [20578]/Agricultura, ganadería silvicultura, caza y pesca [19984]')","Node('/BCCR/Sector Monetario y Financiero/PRESTAMOS DE LAS OTRAS SOCIEDADES DE DEPÓSITO AL SECTOR PRIV [20578]/Agricultura, ganadería silvicultura, caza y pesca [19984]')"
20078,"Comercio, restaurantes y hoteles","Comercio, restaurantes y hoteles",E07.35.05.00.00.00.00.00.00.M.CRC,Mensual,CRC,4,Colón Costarricense,Millones,M,M.CRC,"Node('/BCCR/Sector Monetario y Financiero/PRESTAMOS DE LAS OTRAS SOCIEDADES DE DEPÓSITO AL SECTOR PRIV [20578]/Comercio, restaurantes y hoteles [20078]')","Node('/BCCR/Sector Monetario y Financiero/PRESTAMOS DE LAS OTRAS SOCIEDADES DE DEPÓSITO AL SECTOR PRIV [20578]/Comercio, restaurantes y hoteles [20078]')"
20080,Construcción,Construcción,E07.35.04.01.00.00.00.00.00.M.CRC,Mensual,CRC,4,Colón Costarricense,Millones,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/PRESTAMOS DE LAS OTRAS SOCIEDADES DE DEPÓSITO AL SECTOR PRIV [20578]/Industria [20290]/Construcción [20080]'),Node('/BCCR/Sector Monetario y Financiero/PRESTAMOS DE LAS OTRAS SOCIEDADES DE DEPÓSITO AL SECTOR PRIV [20578]/Industria [20290]/Construcción [20080]')
20082,Consumo,Consumo,E07.35.01.00.00.00.00.00.00.M.CRC,Mensual,CRC,1,Colón Costarricense,,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/PRESTAMOS DE LAS OTRAS SOCIEDADES DE DEPÓSITO AL SECTOR PRIV [20578]/Consumo [20082]'),Node('/BCCR/Sector Monetario y Financiero/PRESTAMOS DE LAS OTRAS SOCIEDADES DE DEPÓSITO AL SECTOR PRIV [20578]/Consumo [20082]')
20290,Industria,Industria,E07.35.04.00.00.00.00.00.00.M.CRC,Mensual,CRC,1,Colón Costarricense,,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/PRESTAMOS DE LAS OTRAS SOCIEDADES DE DEPÓSITO AL SECTOR PRIV [20578]/Industria [20290]'),Node('/BCCR/Sector Monetario y Financiero/PRESTAMOS DE LAS OTRAS SOCIEDADES DE DEPÓSITO AL SECTOR PRIV [20578]/Industria [20290]')
20334,Otras Industrias,Otras Industrias,E07.35.04.02.00.00.00.00.00.M.CRC,Mensual,CRC,4,Colón Costarricense,Millones,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/PRESTAMOS DE LAS OTRAS SOCIEDADES DE DEPÓSITO AL SECTOR PRIV [20578]/Industria [20290]/Otras Industrias [20334]'),Node('/BCCR/Sector Monetario y Financiero/PRESTAMOS DE LAS OTRAS SOCIEDADES DE DEPÓSITO AL SECTOR PRIV [20578]/Industria [20290]/Otras Industrias [20334]')
20438,Otros Consumos,Otros Consumos,E07.35.01.02.00.00.00.00.00.M.CRC,Mensual,CRC,4,Colón Costarricense,Millones,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/PRESTAMOS DE LAS OTRAS SOCIEDADES DE DEPÓSITO AL SECTOR PRIV [20578]/Consumo [20082]/Otros Consumos [20438]'),Node('/BCCR/Sector Monetario y Financiero/PRESTAMOS DE LAS OTRAS SOCIEDADES DE DEPÓSITO AL SECTOR PRIV [20578]/Consumo [20082]/Otros Consumos [20438]')
20489,Otros préstamos no clasificados,Otros préstamos no clasificados,E07.35.07.00.00.00.00.00.00.M.CRC,Mensual,CRC,4,Colón Costarricense,Millones,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/PRESTAMOS DE LAS OTRAS SOCIEDADES DE DEPÓSITO AL SECTOR PRIV [20578]/Otros préstamos no clasificados [20489]'),Node('/BCCR/Sector Monetario y Financiero/PRESTAMOS DE LAS OTRAS SOCIEDADES DE DEPÓSITO AL SECTOR PRIV [20578]/Otros préstamos no clasificados [20489]')
20502,Otros servicios,Otros servicios,E07.35.06.02.00.00.00.00.00.M.CRC,Mensual,CRC,4,Colón Costarricense,Millones,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/PRESTAMOS DE LAS OTRAS SOCIEDADES DE DEPÓSITO AL SECTOR PRIV [20578]/Servicios [20622]/Otros servicios [20502]'),Node('/BCCR/Sector Monetario y Financiero/PRESTAMOS DE LAS OTRAS SOCIEDADES DE DEPÓSITO AL SECTOR PRIV [20578]/Servicios [20622]/Otros servicios [20502]')
20578,PRESTAMOS DE LAS OTRAS SOCIEDADES DE DEPÓSITO AL SECTOR PRIV,PRESTAMOS DE LAS OTRAS SOCIEDADES DE DEPÓSITO AL SECTOR PRIVADO POR DESTINO ECONÓMICO EN ME,E07.35.00.00.00.00.00.00.00.M.CRC,Mensual,CRC,4,Colón Costarricense,Millones,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/PRESTAMOS DE LAS OTRAS SOCIEDADES DE DEPÓSITO AL SECTOR PRIV [20578]'),Node('/BCCR/Sector Monetario y Financiero/PRESTAMOS DE LAS OTRAS SOCIEDADES DE DEPÓSITO AL SECTOR PRIV [20578]')
20622,Servicios,Servicios,E07.35.06.00.00.00.00.00.00.M.CRC,Mensual,CRC,1,Colón Costarricense,,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/PRESTAMOS DE LAS OTRAS SOCIEDADES DE DEPÓSITO AL SECTOR PRIV [20578]/Servicios [20622]'),Node('/BCCR/Sector Monetario y Financiero/PRESTAMOS DE LAS OTRAS SOCIEDADES DE DEPÓSITO AL SECTOR PRIV [20578]/Servicios [20622]')
