codigo,DESCRIPCION,Unidad,Medida,periodo
36365,"Sector Real/Indice Mensual Actividad Económica (IMAE) [35445]/Indice Mensual Actividad Económica (IMAE) [35446]/IMAE, Serie Desestacionalizadal [35660]/Total Industria [35834]/Régimen Definitivo [36365]'",Nivel,No definida,Mensual
36367,"Sector Real/Indice Mensual Actividad Económica (IMAE) [35447]/IMAE, Serie Desestacionalizadal [35661]/Total Industria [35836]/Régimen Definitivo [36367]'",Porcentaje Variación Interanual,No definida,Mensual
36368,"Sector Real/Indice Mensual Actividad Económica (IMAE) [35448]/IMAE, Serie Desestacionalizadal [35662]/Total Industria [35835]/Régimen Definitivo [36368]'",Porcentaje Variación Media,No definida,Mensual
36401,"Sector Real/Indice Mensual Actividad Económica (IMAE) [35445]/Indice Mensual Actividad Económica (IMAE) [35446]/IMAE , Serie Original [35449]/Total Industria [36393]/Régimen Definitivo [36401]'",Nivel,No definida,Mensual
36403,"Sector Real/Indice Mensual Actividad Económica (IMAE) [35447]/IMAE , Serie Original [35450]/Total Industria [36395]/Régimen Definitivo [36403]'",Porcentaje Variación Interanual,No definida,Mensual
36404,"Sector Real/Indice Mensual Actividad Económica (IMAE) [35448]/IMAE , Serie Original [35451]/Total Industria [36396]/Régimen Definitivo [36404]'",Porcentaje Variación Media,No definida,Mensual
36413,Sector Real/Indice Mensual Actividad Económica (IMAE) [35445]/Indice Mensual Actividad Económica (IMAE) [35446]/IMAE Tendencia Ciclo [35553]/Total Industria [36405]/Régimen Definitivo [36413]',Nivel,No definida,Mensual
36415,Sector Real/Indice Mensual Actividad Económica (IMAE) [35447]/IMAE Tendencia Ciclo [35555]/Total Industria [36407]/Régimen Definitivo [36415]',Porcentaje Variación Interanual,No definida,Mensual
36416,Sector Real/Indice Mensual Actividad Económica (IMAE) [35448]/IMAE Tendencia Ciclo [35556]/Total Industria [36408]/Régimen Definitivo [36416]',Porcentaje Variación Media,No definida,Mensual
41320,Sector Externo/Exportaciones FOB [3650]/Codigo producto [37849]/TOTAL Serie Desestacionalizada [41318]/Régimen Definitivo [41320]',Dólar EEUU,Millones,Mensual
41321,Sector Externo/TOTAL Serie Desestacionalizada [41319]/Régimen Definitivo [41321]',Porcentaje Variación Interanual,Unidades,Mensual
41331,Sector Externo/Importaciones CIF [3779]/Codigo producto [38818]/TOTAL Serie Desestacionalizada [41330]/Régimen Definitivo [41331]',Dólar EEUU,Millones,Mensual
41332,Sector Externo/TOTAL Serie Desestacionalizada [5645]/Régimen Definitivo [41332]',Porcentaje Variación Interanual,Unidades,Mensual
82543,"Índices de Precios/Índice de precios de exportaciones [82538]/Índice de precios de exportaciones (IPX) [82541]/Índice general según régimen [82542]/IPX, Régimen Definitivo (IPX) [82543]'",Nivel,,Mensual
82549,"Índices de Precios/Índice de precios de exportaciones [82539]/Índice de precios de exportaciones (IPX) [82547]/Índice general según régimen [82548]/IPX, Régimen Definitivo (IPX) [82549]'",Porcentaje Variación Mensual,,Mensual
82555,"Índices de Precios/Índice de precios de exportaciones [82540]/Índice de precios de exportaciones (IPX) [82553]/Índice general según régimen [82554]/IPX, Régimen Definitivo (IPX) [82555]'",Porcentaje Variación Interanual,,Mensual
87761,"Sector Real/Indice Mensual Actividad Económica (IMAE) [87701]/Indice Mensual Actividad Económica (IMAE) [87702]/IMAE , Serie Original [87703]/Total Industria [87758]/Régimen Definitivo [87761]'",Nivel,,Mensual
87824,Sector Real/Indice Mensual Actividad Económica (IMAE) [87701]/Indice Mensual Actividad Económica (IMAE) [87702]/IMAE Tendencia Ciclo [87764]/Total Industria [87821]/Régimen Definitivo [87824]',Nivel,,Mensual
87851,Sector Real/Indice Mensual Actividad Económica (IMAE) [88136]/IMAE Tendencia Ciclo [87828]/Total Industria [87849]/Régimen Definitivo [87851]',Porcentaje Variación Media,,Mensual
87927,"Sector Real/Indice Mensual Actividad Económica (IMAE) [87701]/Indice Mensual Actividad Económica (IMAE) [87702]/IMAE, Serie Desestacionalizadal [87853]/Total Industria [87924]/Régimen Definitivo [87927]'",Nivel,,Mensual
88018,"Sector Real/Indice Mensual Actividad Económica (IMAE) [87960]/IMAE , Serie Original [87961]/Total Industria [88016]/Régimen Definitivo [88018]'",Porcentaje Variación Interanual,,Mensual
88077,Sector Real/Indice Mensual Actividad Económica (IMAE) [87960]/IMAE Tendencia Ciclo [88019]/Total Industria [88075]/Régimen Definitivo [88077]',Porcentaje Variación Interanual,,Mensual
88135,"Sector Real/Indice Mensual Actividad Económica (IMAE) [87960]/IMAE, Serie Desestacionalizadal [88078]/Total Industria [88133]/Régimen Definitivo [88135]'",Porcentaje Variación Interanual,,Mensual
88159,"Sector Real/Indice Mensual Actividad Económica (IMAE) [88136]/IMAE , Serie Original [88137]/Total Industria [88157]/Régimen Definitivo [88159]'",Porcentaje Variación Media,,Mensual
88182,"Sector Real/Indice Mensual Actividad Económica (IMAE) [88136]/IMAE, Serie Desestacionalizadal [88160]/Total Industria [88180]/Régimen Definitivo [88182]'",Porcentaje Variación Media,,Mensual
90580,"Sector Real/Producto Interno Bruto referencia 2017 [86761]/PIB por actividad económica, volumen encadenado [86967]/Valor agregado a precios básicos (B1b) [86970]/Comercio al por mayor y al por menor [87000]/PIB por régimen de comercio [90577]/PIB régimen definitivo [90580]'",Colón Costarricense Constantes,,Trimestral
90581,"Sector Real/Producto Interno Bruto referencia 2017 [86762]/PIB por actividad económica, volumen encadenado [86968]/Valor agregado a precios básicos (B1b) [86971]/Comercio al por mayor y al por menor [87001]/PIB por régimen de comercio [90578]/PIB régimen definitivo [90581]'",Porcentaje Variación Interanual,,Trimestral
90588,Sector Real/PIB por actividad económica [87039]/Valor agregado a precios básicos (B1b) [87042]/Comercio al por mayor y al por menor [87072]/PIB por régimen de comercio [90586]/PIB régimen definitivo [90588]',Colón Costarricense,,Trimestral
90589,Sector Real/Producto Interno Bruto referencia 2017 [86762]/PIB por actividad económica [87040]/Valor agregado a precios básicos (B1b) [87043]/Comercio al por mayor y al por menor [87073]/PIB por régimen de comercio [90587]/PIB régimen definitivo [90589]',Porcentaje Variación Interanual,,Trimestral
90594,Sector Real/Producto Interno Bruto por actividad económica [87111]/Valor agregado a precios básicos (B1b) [87112]/Comercio al por mayor y al por menor [87124]/PIB por régimen de comercio [90592]/PIB régimen definitivo [90594]',Nivel,,Trimestral
90595,Sector Real/Producto Interno Bruto referencia 2017 [86762]/Valor agregado a precios básicos (B1b) [87113]/Comercio al por mayor y al por menor [87125]/PIB por régimen de comercio [90593]/PIB régimen definitivo [90595]',Porcentaje Variación Interanual,,Trimestral
90602,"Sector Real/Producto Interno Bruto referencia 2017 [86761]/PIB por actividad económica, vol, serie desest [87366]/Valor agregado a precios básicos (B1b) [87369]/Comercio al por mayor y al por menor [87399]/PIB por régimen de comercio [90598]/PIB régimen definitivo [90602]'",Colón Costarricense Constantes,,Trimestral
90605,"Sector Real/Producto Interno Bruto referencia 2017 [89953]/PIB por actividad económica, vol, serie desest [90089]/Valor agregado a precios básicos (B1b) [90090]/Comercio al por mayor y al por menor [90100]/PIB por régimen de comercio [90601]/PIB régimen definitivo [90605]'",Porcentaje Variación Ultimos Tres Meses,,Trimestral
90613,"Sector Real/PIB por actividad económica, nominal, serie desest [87438]/Valor agregado a precios básicos (B1b) [87441]/Comercio al por mayor y al por menor [87471]/PIB por régimen de comercio [90610]/PIB régimen definitivo [90613]'",Colón Costarricense,,Trimestral
90615,"Sector Real/Producto Interno Bruto referencia 2017 [89953]/PIB por actividad económica, nominal, serie desest [89954]/Valor agregado a precios básicos (B1b) [89955]/Comercio al por mayor y al por menor [89965]/PIB por régimen de comercio [90612]/PIB régimen definitivo [90615]'",Porcentaje Variación Ultimos Tres Meses,,Trimestral
90621,"Sector Real/Producto Interno Bruto referencia 2017 [86761]/PIB por actividad económica, volumen, serie t.c [87575]/Valor agregado a precios básicos (B1b) [87579]/Comercio al por mayor y al por menor [87619]/PIB por régimen de comercio [90619]/PIB régimen definitivo [90621]'",Colón Costarricense Constantes,,Trimestral
90622,"Sector Real/Producto Interno Bruto referencia 2017 [86762]/PIB por actividad económica, volumen, serie t.c [87577]/Valor agregado a precios básicos (B1b) [87581]/Comercio al por mayor y al por menor [87621]/PIB por régimen de comercio [90620]/PIB régimen definitivo [90622]'",Porcentaje Variación Interanual,,Trimestral
90636,"Sector Real/PIB por actividad, volumen,variación trimestral anualizada [87576]/Valor agregado a precios básicos (B1b) [87580]/Comercio al por mayor y al por menor [87620]/PIB por régimen de comercio [90635]/PIB régimen definitivo [90636]'",Porcentaje de Variacion Trimestral Anualizada,,Trimestral
