codigo,DESCRIPCION,Unidad,Medida,periodo
39589,Sector Externo/Exportaciones FOB acumuladas [3651]/Por principales países (Régimen especial) [39589]',Dólar EEUU,Millones,Mensual
40036,Sector Externo/Exportaciones FOB acumuladas [3651]/Por principales países (Régimen especial) [40036]',Dólar EEUU,Millones,Mensual
40144,Sector Externo/Importaciones CIF acumuladas [3661]/Por principales países (Régimen especial) [40144]',Dólar EEUU,Millones,Mensual
41322,Sector Externo/Exportaciones FOB [3650]/Codigo producto [37849]/TOTAL Serie Desestacionalizada [41318]/Régimen Especial [41322]',Dólar EEUU,Millones,Mensual
41323,Sector Externo/TOTAL Serie Desestacionalizada [41319]/Régimen Especial [41323]',Porcentaje Variación Interanual,Unidades,Mensual
41333,Sector Externo/Importaciones CIF [3779]/Codigo producto [38818]/TOTAL Serie Desestacionalizada [41330]/Régimen Especial [41333]',Dólar EEUU,Millones,Mensual
41334,Sector Externo/TOTAL Serie Desestacionalizada [5645]/Régimen Especial [41334]',Porcentaje Variación Interanual,Unidades,Mensual
90583,"Sector Real/Producto Interno Bruto referencia 2017 [86761]/PIB por actividad económica, volumen encadenado [86967]/Valor agregado a precios básicos (B1b) [86970]/Comercio al por mayor y al por menor [87000]/PIB por régimen de comercio [90577]/PIB régimen especial [90583]'",Colón Costarricense Constantes,,Trimestral
90584,"Sector Real/Producto Interno Bruto referencia 2017 [86762]/PIB por actividad económica, volumen encadenado [86968]/Valor agregado a precios básicos (B1b) [86971]/Comercio al por mayor y al por menor [87001]/PIB por régimen de comercio [90578]/PIB régimen especial [90584]'",Porcentaje Variación Interanual,,Trimestral
90590,Sector Real/PIB por actividad económica [87039]/Valor agregado a precios básicos (B1b) [87042]/Comercio al por mayor y al por menor [87072]/PIB por régimen de comercio [90586]/PIB régimen especial [90590]',Colón Costarricense,,Trimestral
90591,Sector Real/Producto Interno Bruto referencia 2017 [86762]/PIB por actividad económica [87040]/Valor agregado a precios básicos (B1b) [87043]/Comercio al por mayor y al por menor [87073]/PIB por régimen de comercio [90587]/PIB régimen especial [90591]',Porcentaje Variación Interanual,,Trimestral
90596,Sector Real/Producto Interno Bruto por actividad económica [87111]/Valor agregado a precios básicos (B1b) [87112]/Comercio al por mayor y al por menor [87124]/PIB por régimen de comercio [90592]/PIB régimen especial [90596]',Nivel,,Trimestral
90597,Sector Real/Producto Interno Bruto referencia 2017 [86762]/Valor agregado a precios básicos (B1b) [87113]/Comercio al por mayor y al por menor [87125]/PIB por régimen de comercio [90593]/PIB régimen especial [90597]',Porcentaje Variación Interanual,,Trimestral
90606,"Sector Real/Producto Interno Bruto referencia 2017 [86761]/PIB por actividad económica, vol, serie desest [87366]/Valor agregado a precios básicos (B1b) [87369]/Comercio al por mayor y al por menor [87399]/PIB por régimen de comercio [90598]/PIB régimen especial [90606]'",Colón Costarricense Constantes,,Trimestral
90609,"Sector Real/Producto Interno Bruto referencia 2017 [89953]/PIB por actividad económica, vol, serie desest [90089]/Valor agregado a precios básicos (B1b) [90090]/Comercio al por mayor y al por menor [90100]/PIB por régimen de comercio [90601]/PIB régimen especial [90609]'",Porcentaje Variación Ultimos Tres Meses,,Trimestral
90616,"Sector Real/PIB por actividad económica, nominal, serie desest [87438]/Valor agregado a precios básicos (B1b) [87441]/Comercio al por mayor y al por menor [87471]/PIB por régimen de comercio [90610]/PIB régimen especial [90616]'",Colón Costarricense,,Trimestral
90618,"Sector Real/Producto Interno Bruto referencia 2017 [89953]/PIB por actividad económica, nominal, serie desest [89954]/Valor agregado a precios básicos (B1b) [89955]/Comercio al por mayor y al por menor [89965]/PIB por régimen de comercio [90612]/PIB régimen especial [90618]'",Porcentaje Variación Ultimos Tres Meses,,Trimestral
90623,"Sector Real/Producto Interno Bruto referencia 2017 [86761]/PIB por actividad económica, volumen, serie t.c [87575]/Valor agregado a precios básicos (B1b) [87579]/Comercio al por mayor y al por menor [87619]/PIB por régimen de comercio [90619]/PIB régimen especial [90623]'",Colón Costarricense Constantes,,Trimestral
90624,"Sector Real/Producto Interno Bruto referencia 2017 [86762]/PIB por actividad económica, volumen, serie t.c [87577]/Valor agregado a precios básicos (B1b) [87581]/Comercio al por mayor y al por menor [87621]/PIB por régimen de comercio [90620]/PIB régimen especial [90624]'",Porcentaje Variación Interanual,,Trimestral
90637,"Sector Real/PIB por actividad, volumen,variación trimestral anualizada [87576]/Valor agregado a precios básicos (B1b) [87580]/Comercio al por mayor y al por menor [87620]/PIB por régimen de comercio [90635]/PIB régimen especial [90637]'",Porcentaje de Variacion Trimestral Anualizada,,Trimestral
