codigo,DESCRIPCION,Unidad,Medida,periodo
2103,Sector Externo/Exportaciones FOB acumuladas [3651]/Por principales productos [1999]/Zona Franca [2103]',Dólar EEUU,Millones,Mensual
2104,Sector Externo/Por principales productos [2001]/Zona Franca [2104]',Porcentaje Variación Interanual,Millones,Mensual
2157,Sector Externo/Importaciones CIF acumuladas [3661]/Por categorías económicas [2147]/Materias primas y productos intermedios [2149]/Para la industria y minería [2153]/Zona Franca [2157]',Dólar EEUU,Millones,Mensual
2158,Sector Externo/Por categorías económicas [2148]/Materias primas y productos intermedios [2150]/Para la industria y minería [2154]/Zona Franca [2158]',Porcentaje Variación Interanual,Millones,Mensual
2198,Sector Externo/Importaciones CIF acumuladas [3661]/Por categorías económicas [2147]/Bienes de capital [2188]/Para la industria y minería [2194]/Zona Franca [2198]',Dólar EEUU,Millones,Mensual
2199,Sector Externo/Por categorías económicas [2148]/Bienes de capital [2189]/Para la industria y minería [2195]/Zona Franca [2199]',Porcentaje Variación Interanual,Millones,Mensual
22904,"Sector Real/Indice Mensual Actividad Económica (IMAE) [3669]/IMAE con IEAT, Serie Original [913]/Industria manufacturera [3009]/Zona Franca [22904]'",Nivel,No definida,Mensual
22913,"Sector Real/IMAE con IEAT, Serie Original [4919]/Industria manufacturera [4921]/Zona Franca [22913]'",Porcentaje Variación Interanual,No definida,Mensual
22930,"Sector Real/Indice Mensual Actividad Económica (IMAE) [3669]/IMAE con IEAT, Tendencia Ciclo [914]/Industria manufacturera [3010]/Zona Franca [22930]'",Nivel,No definida,Mensual
22939,"Sector Real/IMAE con IEAT, Tendencia Ciclo [1982]/Industria manufacturera [4945]/Zona Franca [22939]'",Porcentaje Variación Interanual,No definida,Mensual
22966,Sector Real/IMAE sin Zona Franca [22966]',Nivel,,Mensual
22968,Sector Real/IMAE sin Zona Franca Serie Original [22968]',Porcentaje Variación Interanual,NO DEFINIDO,Mensual
22971,Sector Real/IMAE sin Zona Franca Serie Tendencia Ciclo [22971]',Porcentaje Variación Interanual,NO DEFINIDO,Mensual
23090,Sector Real/IMAE sin Zona Franca Serie Original [23090]',Porcentaje Variación Media,NO DEFINIDO,Mensual
23091,Sector Real/IMAE sin Zona Franca Serie Tendencia Ciclo [23091]',Porcentaje Variación Media,NO DEFINIDO,Mensual
23098,Sector Externo/Inversión directa en la economía declarante [23092]/Total Inversión directa en la economía declarante [23093]/Régimen [23094]/Zona Franca [23098]',Dólar EEUU,Millones,Anual
23150,Sector Externo/Inversión directa en la economía declarante [23144]/Total Inversión directa en la economía declarante [23145]/Régimen [23146]/Zona Franca [23150]',Dólar EEUU,Millones,Trimestral
