codigo,nombre,descripcion,cuenta,periodo,unidad,medida,Unidad,Medida,freq,familia,node,DESCRIPCION,codigo
1494,Crédito interno total,Crédito interno total,E07.07.00.00.00.00.00.00.00.M.CRC,Mensual,CRC,1,Colón Costarricense,,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]'),Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]'),1494
1304,Banco central,Banco central,E07.07.01.00.00.00.00.00.00.M.CRC,Mensual,CRC,4,Colón Costarricense,Millones,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Banco central [1304]'),Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Banco central [1304]'),1304
1413,Sistema bancario nacional,Sistema bancario nacional,E07.07.02.00.00.00.00.00.00.M.CRC,Mensual,CRC,4,Colón Costarricense,Millones,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Sistema bancario nacional [1413]'),Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Sistema bancario nacional [1413]'),1413
1467,Sistema financiero nacional,Sistema financiero nacional,E07.07.03.00.00.00.00.00.00.M.CRC,Mensual,CRC,4,Colón Costarricense,Millones,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Sistema financiero nacional [1467]'),Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Sistema financiero nacional [1467]'),1467
3641,Crédito neto al Gobierno,Crédito neto al Gobierno,E07.07.04.00.00.00.00.00.00.M.CRC,Mensual,CRC,1,Colón Costarricense,,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Crédito neto al Gobierno [3641]'),Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Crédito neto al Gobierno [3641]'),3641
1307,Banco central,Banco central,E07.07.04.01.00.00.00.00.00.M.CRC,Mensual,CRC,4,Colón Costarricense,Millones,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Crédito neto al Gobierno [3641]/Banco central [1307]'),Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Crédito neto al Gobierno [3641]/Banco central [1307]'),1307
1308,Crédito corriente al gobierno,Crédito corriente al gobierno,E07.07.04.01.01.00.00.00.00.M.CRC,Mensual,CRC,4,Colón Costarricense,Millones,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Crédito neto al Gobierno [3641]/Banco central [1307]/Crédito corriente al gobierno [1308]'),Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Crédito neto al Gobierno [3641]/Banco central [1307]/Crédito corriente al gobierno [1308]'),1308
1309,Crédito renegociado al gobierno,Crédito renegociado al gobierno,E07.07.04.01.02.00.00.00.00.M.CRC,Mensual,CRC,4,Colón Costarricense,Millones,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Crédito neto al Gobierno [3641]/Banco central [1307]/Crédito renegociado al gobierno [1309]'),Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Crédito neto al Gobierno [3641]/Banco central [1307]/Crédito renegociado al gobierno [1309]'),1309
1310,Crédito redocumentado al gobierno,Crédito redocumentado al gobierno,E07.07.04.01.03.00.00.00.00.M.CRC,Mensual,CRC,4,Colón Costarricense,Millones,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Crédito neto al Gobierno [3641]/Banco central [1307]/Crédito redocumentado al gobierno [1310]'),Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Crédito neto al Gobierno [3641]/Banco central [1307]/Crédito redocumentado al gobierno [1310]'),1310
20848,Crédito otorgado por OSD a ISFLH,Crédito otorgado por OSD a ISFLH,E07.07.06.04.00.00.00.00.00.M.CRC,Mensual,CRC,4,Colón Costarricense,Millones,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Crédito al sector privado [3639]/Crédito otorgado por OSD a ISFLH [20848]'),Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Crédito al sector privado [3639]/Crédito otorgado por OSD a ISFLH [20848]'),20848
23684,Crédito sector priv. por grupo de interm fin,Crédito sector privado por grupo de intermediarios financieros,E07.07.12.00.00.00.00.00.00.M.CRC,Mensual,CRC,1,Colón Costarricense,,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Crédito sector priv. por grupo de interm fin [23684]'),Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Crédito sector priv. por grupo de interm fin [23684]'),23684
23685,OSD bancarias públicas,OSD bancarias públicas,E07.07.12.01.00.00.00.00.00.M.CRC,Mensual,CRC,1,Colón Costarricense,,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Crédito sector priv. por grupo de interm fin [23684]/OSD bancarias públicas [23685]'),Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Crédito sector priv. por grupo de interm fin [23684]/OSD bancarias públicas [23685]'),23685
23686,MN,MN,E07.07.12.01.01.00.00.00.00.M.CRC,Mensual,CRC,4,Colón Costarricense,Millones,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Crédito sector priv. por grupo de interm fin [23684]/OSD bancarias públicas [23685]/MN [23686]'),Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Crédito sector priv. por grupo de interm fin [23684]/OSD bancarias públicas [23685]/MN [23686]'),23686
23687,ME,ME,E07.07.12.01.02.00.00.00.00.M.CRC,Mensual,CRC,4,Colón Costarricense,Millones,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Crédito sector priv. por grupo de interm fin [23684]/OSD bancarias públicas [23685]/ME [23687]'),Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Crédito sector priv. por grupo de interm fin [23684]/OSD bancarias públicas [23685]/ME [23687]'),23687
23688,OSD bancarias privadas,OSD bancarias privadas,E07.07.12.02.00.00.00.00.00.M.CRC,Mensual,CRC,1,Colón Costarricense,,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Crédito sector priv. por grupo de interm fin [23684]/OSD bancarias privadas [23688]'),Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Crédito sector priv. por grupo de interm fin [23684]/OSD bancarias privadas [23688]'),23688
23689,MN,MN,E07.07.12.02.01.00.00.00.00.M.CRC,Mensual,CRC,4,Colón Costarricense,Millones,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Crédito sector priv. por grupo de interm fin [23684]/OSD bancarias privadas [23688]/MN [23689]'),Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Crédito sector priv. por grupo de interm fin [23684]/OSD bancarias privadas [23688]/MN [23689]'),23689
23690,ME,ME,E07.07.12.02.02.00.00.00.00.M.CRC,Mensual,CRC,4,Colón Costarricense,Millones,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Crédito sector priv. por grupo de interm fin [23684]/OSD bancarias privadas [23688]/ME [23690]'),Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Crédito sector priv. por grupo de interm fin [23684]/OSD bancarias privadas [23688]/ME [23690]'),23690
23691,OSD no bancarias,OSD no bancarias,E07.07.12.03.00.00.00.00.00.M.CRC,Mensual,CRC,1,Colón Costarricense,,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Crédito sector priv. por grupo de interm fin [23684]/OSD no bancarias [23691]'),Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Crédito sector priv. por grupo de interm fin [23684]/OSD no bancarias [23691]'),23691
23692,MN,MN,E07.07.12.03.01.00.00.00.00.M.CRC,Mensual,CRC,4,Colón Costarricense,Millones,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Crédito sector priv. por grupo de interm fin [23684]/OSD no bancarias [23691]/MN [23692]'),Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Crédito sector priv. por grupo de interm fin [23684]/OSD no bancarias [23691]/MN [23692]'),23692
23693,ME,ME,E07.07.12.03.02.00.00.00.00.M.CRC,Mensual,CRC,4,Colón Costarricense,Millones,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Crédito sector priv. por grupo de interm fin [23684]/OSD no bancarias [23691]/ME [23693]'),Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Crédito sector priv. por grupo de interm fin [23684]/OSD no bancarias [23691]/ME [23693]'),23693
23694,OSD BCCR,OSD BCCR,E07.07.12.04.00.00.00.00.00.M.CRC,Mensual,CRC,1,Colón Costarricense,,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Crédito sector priv. por grupo de interm fin [23684]/OSD BCCR [23694]'),Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Crédito sector priv. por grupo de interm fin [23684]/OSD BCCR [23694]'),23694
23695,MN,MN,E07.07.12.04.01.00.00.00.00.M.CRC,Mensual,CRC,4,Colón Costarricense,Millones,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Crédito sector priv. por grupo de interm fin [23684]/OSD BCCR [23694]/MN [23695]'),Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Crédito sector priv. por grupo de interm fin [23684]/OSD BCCR [23694]/MN [23695]'),23695
23696,ME,ME,E07.07.12.04.02.00.00.00.00.M.CRC,Mensual,CRC,4,Colón Costarricense,Millones,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Crédito sector priv. por grupo de interm fin [23684]/OSD BCCR [23694]/ME [23696]'),Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Crédito sector priv. por grupo de interm fin [23684]/OSD BCCR [23694]/ME [23696]'),23696
89724,BCCR: Operaciones diferidas a plazo (ODP),BCCR: Operaciones diferidas a plazo (ODP),E07.07.13.00.00.00.00.00.00.M.CRC,Mensual,CRC,1,Colón Costarricense,,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/BCCR: Operaciones diferidas a plazo (ODP) [89724]'),Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/BCCR: Operaciones diferidas a plazo (ODP) [89724]'),89724
89725,Bancos Públicos,Bancos Públicos,E07.07.13.01.00.00.00.00.00.M.CRC,Mensual,CRC,1,Colón Costarricense,,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/BCCR: Operaciones diferidas a plazo (ODP) [89724]/Bancos Públicos [89725]'),Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/BCCR: Operaciones diferidas a plazo (ODP) [89724]/Bancos Públicos [89725]'),89725
89726,2 años,2 años,E07.07.13.01.01.00.00.00.00.M.CRC,Mensual,CRC,1,Colón Costarricense,,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/BCCR: Operaciones diferidas a plazo (ODP) [89724]/Bancos Públicos [89725]/2 años [89726]'),Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/BCCR: Operaciones diferidas a plazo (ODP) [89724]/Bancos Públicos [89725]/2 años [89726]'),89726
89727,4 años,4 años,E07.07.13.01.02.00.00.00.00.M.CRC,Mensual,CRC,1,Colón Costarricense,,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/BCCR: Operaciones diferidas a plazo (ODP) [89724]/Bancos Públicos [89725]/4 años [89727]'),Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/BCCR: Operaciones diferidas a plazo (ODP) [89724]/Bancos Públicos [89725]/4 años [89727]'),89727
89728,Bancos Privados,Bancos Privados,E07.07.13.02.00.00.00.00.00.M.CRC,Mensual,CRC,1,Colón Costarricense,,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/BCCR: Operaciones diferidas a plazo (ODP) [89724]/Bancos Privados [89728]'),Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/BCCR: Operaciones diferidas a plazo (ODP) [89724]/Bancos Privados [89728]'),89728
89729,2 años,2 años,E07.07.13.02.01.00.00.00.00.M.CRC,Mensual,CRC,1,Colón Costarricense,,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/BCCR: Operaciones diferidas a plazo (ODP) [89724]/Bancos Privados [89728]/2 años [89729]'),Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/BCCR: Operaciones diferidas a plazo (ODP) [89724]/Bancos Privados [89728]/2 años [89729]'),89729
