codigo,nombre,descripcion,cuenta,periodo,unidad,medida,Unidad,Medida,freq,familia,node,DESCRIPCION,codigo
3650,Exportaciones FOB,Exportaciones FOB,E05.06.00.00.00.00.00.00.00.M.USD,Mensual,USD,1,Dólar EEUU,,M,M.USD,Node('/BCCR/Sector Externo/Exportaciones FOB [3650]'),Node('/BCCR/Sector Externo/Exportaciones FOB [3650]'),3650
33,Preliminares (FUES),Preliminares (FUES),E05.06.01.00.00.00.00.00.00.M.USD,Mensual,USD,4,Dólar EEUU,Millones,M,M.USD,Node('/BCCR/Sector Externo/Exportaciones FOB [3650]/Preliminares (FUES) [33]'),Node('/BCCR/Sector Externo/Exportaciones FOB [3650]/Preliminares (FUES) [33]'),33
37849,Codigo producto,Codigo producto,E05.06.08.00.00.00.00.00.00.M.USD,Mensual,USD,1,Dólar EEUU,,M,M.USD,Node('/BCCR/Sector Externo/Exportaciones FOB [3650]/Codigo producto [37849]'),Node('/BCCR/Sector Externo/Exportaciones FOB [3650]/Codigo producto [37849]'),37849
41318,TOTAL Serie Desestacionalizada,TOTAL,E05.06.08.04.00.00.00.00.00.M.USD,Mensual,USD,4,Dólar EEUU,Millones,M,M.USD,Node('/BCCR/Sector Externo/Exportaciones FOB [3650]/Codigo producto [37849]/TOTAL Serie Desestacionalizada [41318]'),Node('/BCCR/Sector Externo/Exportaciones FOB [3650]/Codigo producto [37849]/TOTAL Serie Desestacionalizada [41318]'),41318
41320,Régimen Definitivo,Régimen Definitivo,E05.06.08.04.01.00.00.00.00.M.USD,Mensual,USD,4,Dólar EEUU,Millones,M,M.USD,Node('/BCCR/Sector Externo/Exportaciones FOB [3650]/Codigo producto [37849]/TOTAL Serie Desestacionalizada [41318]/Régimen Definitivo [41320]'),Node('/BCCR/Sector Externo/Exportaciones FOB [3650]/Codigo producto [37849]/TOTAL Serie Desestacionalizada [41318]/Régimen Definitivo [41320]'),41320
41322,Régimen Especial,Régimen Especial,E05.06.08.04.02.00.00.00.00.M.USD,Mensual,USD,4,Dólar EEUU,Millones,M,M.USD,Node('/BCCR/Sector Externo/Exportaciones FOB [3650]/Codigo producto [37849]/TOTAL Serie Desestacionalizada [41318]/Régimen Especial [41322]'),Node('/BCCR/Sector Externo/Exportaciones FOB [3650]/Codigo producto [37849]/TOTAL Serie Desestacionalizada [41318]/Régimen Especial [41322]'),41322
37969,Codigo producto Acumulado,Codigo producto Acumulado,E05.06.09.00.00.00.00.00.00.M.USD,Mensual,USD,1,Dólar EEUU,,M,M.USD,Node('/BCCR/Sector Externo/Exportaciones FOB [3650]/Codigo producto Acumulado [37969]'),Node('/BCCR/Sector Externo/Exportaciones FOB [3650]/Codigo producto Acumulado [37969]'),37969
37970,TOTAL,TOTAL,E05.06.09.01.00.00.00.00.00.M.USD,Mensual,USD,4,Dólar EEUU,Millones,M,M.USD,Node('/BCCR/Sector Externo/Exportaciones FOB [3650]/Codigo producto Acumulado [37969]/TOTAL [37970]'),Node('/BCCR/Sector Externo/Exportaciones FOB [3650]/Codigo producto Acumulado [37969]/TOTAL [37970]'),37970
37971,NP001,NP001,E05.06.09.01.01.00.00.00.00.M.USD,Mensual,USD,4,Dólar EEUU,Millones,M,M.USD,Node('/BCCR/Sector Externo/Exportaciones FOB [3650]/Codigo producto Acumulado [37969]/TOTAL [37970]/NP001 [37971]'),Node('/BCCR/Sector Externo/Exportaciones FOB [3650]/Codigo producto Acumulado [37969]/TOTAL [37970]/NP001 [37971]'),37971
37972,NP002,NP002,E05.06.09.01.02.00.00.00.00.M.USD,Mensual,USD,4,Dólar EEUU,Millones,M,M.USD,Node('/BCCR/Sector Externo/Exportaciones FOB [3650]/Codigo producto Acumulado [37969]/TOTAL [37970]/NP002 [37972]'),Node('/BCCR/Sector Externo/Exportaciones FOB [3650]/Codigo producto Acumulado [37969]/TOTAL [37970]/NP002 [37972]'),37972
37973,NP003,NP003,E05.06.09.01.03.00.00.00.00.M.USD,Mensual,USD,4,Dólar EEUU,Millones,M,M.USD,Node('/BCCR/Sector Externo/Exportaciones FOB [3650]/Codigo producto Acumulado [37969]/TOTAL [37970]/NP003 [37973]'),Node('/BCCR/Sector Externo/Exportaciones FOB [3650]/Codigo producto Acumulado [37969]/TOTAL [37970]/NP003 [37973]'),37973
37974,NP004,NP004,E05.06.09.01.04.00.00.00.00.M.USD,Mensual,USD,4,Dólar EEUU,Millones,M,M.USD,Node('/BCCR/Sector Externo/Exportaciones FOB [3650]/Codigo producto Acumulado [37969]/TOTAL [37970]/NP004 [37974]'),Node('/BCCR/Sector Externo/Exportaciones FOB [3650]/Codigo producto Acumulado [37969]/TOTAL [37970]/NP004 [37974]'),37974
37975,NP005,NP005,E05.06.09.01.05.00.00.00.00.M.USD,Mensual,USD,4,Dólar EEUU,Millones,M,M.USD,Node('/BCCR/Sector Externo/Exportaciones FOB [3650]/Codigo producto Acumulado [37969]/TOTAL [37970]/NP005 [37975]'),Node('/BCCR/Sector Externo/Exportaciones FOB [3650]/Codigo producto Acumulado [37969]/TOTAL [37970]/NP005 [37975]'),37975
37976,NP006,NP006,E05.06.09.01.06.00.00.00.00.M.USD,Mensual,USD,4,Dólar EEUU,Millones,M,M.USD,Node('/BCCR/Sector Externo/Exportaciones FOB [3650]/Codigo producto Acumulado [37969]/TOTAL [37970]/NP006 [37976]'),Node('/BCCR/Sector Externo/Exportaciones FOB [3650]/Codigo producto Acumulado [37969]/TOTAL [37970]/NP006 [37976]'),37976
37977,NP007,NP007,E05.06.09.01.07.00.00.00.00.M.USD,Mensual,USD,4,Dólar EEUU,Millones,M,M.USD,Node('/BCCR/Sector Externo/Exportaciones FOB [3650]/Codigo producto Acumulado [37969]/TOTAL [37970]/NP007 [37977]'),Node('/BCCR/Sector Externo/Exportaciones FOB [3650]/Codigo producto Acumulado [37969]/TOTAL [37970]/NP007 [37977]'),37977
37978,NP008,NP008,E05.06.09.01.08.00.00.00.00.M.USD,Mensual,USD,4,Dólar EEUU,Millones,M,M.USD,Node('/BCCR/Sector Externo/Exportaciones FOB [3650]/Codigo producto Acumulado [37969]/TOTAL [37970]/NP008 [37978]'),Node('/BCCR/Sector Externo/Exportaciones FOB [3650]/Codigo producto Acumulado [37969]/TOTAL [37970]/NP008 [37978]'),37978
37979,NP009,NP009,E05.06.09.01.09.00.00.00.00.M.USD,Mensual,USD,4,Dólar EEUU,Millones,M,M.USD,Node('/BCCR/Sector Externo/Exportaciones FOB [3650]/Codigo producto Acumulado [37969]/TOTAL [37970]/NP009 [37979]'),Node('/BCCR/Sector Externo/Exportaciones FOB [3650]/Codigo producto Acumulado [37969]/TOTAL [37970]/NP009 [37979]'),37979
37980,NP010,NP010,E05.06.09.01.10.00.00.00.00.M.USD,Mensual,USD,4,Dólar EEUU,Millones,M,M.USD,Node('/BCCR/Sector Externo/Exportaciones FOB [3650]/Codigo producto Acumulado [37969]/TOTAL [37970]/NP010 [37980]'),Node('/BCCR/Sector Externo/Exportaciones FOB [3650]/Codigo producto Acumulado [37969]/TOTAL [37970]/NP010 [37980]'),37980
37981,NP011,NP011,E05.06.09.01.11.00.00.00.00.M.USD,Mensual,USD,4,Dólar EEUU,Millones,M,M.USD,Node('/BCCR/Sector Externo/Exportaciones FOB [3650]/Codigo producto Acumulado [37969]/TOTAL [37970]/NP011 [37981]'),Node('/BCCR/Sector Externo/Exportaciones FOB [3650]/Codigo producto Acumulado [37969]/TOTAL [37970]/NP011 [37981]'),37981
