codigo,nombre,descripcion,cuenta,periodo,unidad,medida,Unidad,Medida,freq,familia,node,DESCRIPCION,codigo
1415,Sistema bancario nacional,Sistema bancario nacional,E07.07.07.01.00.00.00.00.00.M.CRC,Mensual,CRC,4,Colón Costarricense,Millones,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Crédito al sector privado por actividad económica [1495]/Sistema bancario nacional [1415]'),Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Crédito al sector privado por actividad económica [1495]/Sistema bancario nacional [1415]'),1415
1416,Agricultura,Agricultura,E07.07.07.01.01.00.00.00.00.M.CRC,Mensual,CRC,4,Colón Costarricense,Millones,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Crédito al sector privado por actividad económica [1495]/Sistema bancario nacional [1415]/Agricultura [1416]'),Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Crédito al sector privado por actividad económica [1495]/Sistema bancario nacional [1415]/Agricultura [1416]'),1416
1417,Ganadería,Ganadería,E07.07.07.01.02.00.00.00.00.M.CRC,Mensual,CRC,4,Colón Costarricense,Millones,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Crédito al sector privado por actividad económica [1495]/Sistema bancario nacional [1415]/Ganadería [1417]'),Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Crédito al sector privado por actividad económica [1495]/Sistema bancario nacional [1415]/Ganadería [1417]'),1417
1418,Pesca,Pesca,E07.07.07.01.03.00.00.00.00.M.CRC,Mensual,CRC,4,Colón Costarricense,Millones,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Crédito al sector privado por actividad económica [1495]/Sistema bancario nacional [1415]/Pesca [1418]'),Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Crédito al sector privado por actividad económica [1495]/Sistema bancario nacional [1415]/Pesca [1418]'),1418
1419,Industria,Industria,E07.07.07.01.04.00.00.00.00.M.CRC,Mensual,CRC,4,Colón Costarricense,Millones,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Crédito al sector privado por actividad económica [1495]/Sistema bancario nacional [1415]/Industria [1419]'),Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Crédito al sector privado por actividad económica [1495]/Sistema bancario nacional [1415]/Industria [1419]'),1419
1420,Vivienda,Vivienda,E07.07.07.01.05.00.00.00.00.M.CRC,Mensual,CRC,4,Colón Costarricense,Millones,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Crédito al sector privado por actividad económica [1495]/Sistema bancario nacional [1415]/Vivienda [1420]'),Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Crédito al sector privado por actividad económica [1495]/Sistema bancario nacional [1415]/Vivienda [1420]'),1420
1421,Construcción,Construcción,E07.07.07.01.06.00.00.00.00.M.CRC,Mensual,CRC,4,Colón Costarricense,Millones,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Crédito al sector privado por actividad económica [1495]/Sistema bancario nacional [1415]/Construcción [1421]'),Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Crédito al sector privado por actividad económica [1495]/Sistema bancario nacional [1415]/Construcción [1421]'),1421
1422,Turismo,Turismo,E07.07.07.01.07.00.00.00.00.M.CRC,Mensual,CRC,4,Colón Costarricense,Millones,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Crédito al sector privado por actividad económica [1495]/Sistema bancario nacional [1415]/Turismo [1422]'),Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Crédito al sector privado por actividad económica [1495]/Sistema bancario nacional [1415]/Turismo [1422]'),1422
1423,Electricidad,Electricidad,E07.07.07.01.08.00.00.00.00.M.CRC,Mensual,CRC,4,Colón Costarricense,Millones,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Crédito al sector privado por actividad económica [1495]/Sistema bancario nacional [1415]/Electricidad [1423]'),Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Crédito al sector privado por actividad económica [1495]/Sistema bancario nacional [1415]/Electricidad [1423]'),1423
1424,Comercio,Comercio,E07.07.07.01.09.00.00.00.00.M.CRC,Mensual,CRC,4,Colón Costarricense,Millones,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Crédito al sector privado por actividad económica [1495]/Sistema bancario nacional [1415]/Comercio [1424]'),Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Crédito al sector privado por actividad económica [1495]/Sistema bancario nacional [1415]/Comercio [1424]'),1424
