codigo,DESCRIPCION,Unidad,Medida,periodo
3,Sector Externo/Balanza de Pagos [3607]/Cuenta corriente [1]/Bienes [2]/Exportaciones FOB [3]',Dólar EEUU,Millones,Trimestral
805,"Sector Real/Producto Interno Bruto a precios de mercado, real [779]/Producto Interno Bruto y Gasto a precios de mercado, real [797]/Exportaciones de bienes y servicios, real [804]/Exportaciones de bienes FOB, real [805]'",Colón Costarricense Constantes,Millones,Anual
836,"Sector Real/Producto Interno Bruto a precios de mercado, nominal [810]/Producto Interno Bruto y Gasto a precios de mercado, nominal [828]/Exportaciones de bienes y servicios, nominal [835]/Exportaciones de bienes FOB, nominal [836]'",Colón Costarricense,Millones,Anual
894,"Sector Real/Producto Interno Bruto a precios de mercado, real [868]/Producto Interno Bruto y Gasto a precios de mercado, real [886]/Exportaciones de bienes y servicios, real [893]/Exportaciones de bienes FOB, real [894]'",Colón Costarricense Constantes,Millones,Trimestral
908,"Sector Real/Producto Interno Bruto y Gasto a precios de mercado, nominal [899]/Exportaciones de bienes y servicios, nominal [907]/Exportaciones de bienes FOB, nominal [908]'",Colón Costarricense,Millones,Trimestral
1775,Sector Externo/Balanza de Pagos (Acumulada) [3608]/Cuenta corriente [1773]/Bienes [1774]/Exportaciones FOB [1775]',Dólar EEUU,Millones,Trimestral
2656,"Sector Real/Producto Interno Bruto a precios de mercado, real [2646]/Producto Interno Bruto y Gasto a precios de mercado, real [2754]/Exportaciones de bienes y servicios, real [2654]/Exportaciones de bienes FOB, real [2656]'",Porcentaje Participación,Unidades,Anual
2688,"Sector Real/Producto Interno Bruto a precios de mercado, nominal [2662]/Producto Interno Bruto y Gasto a precios de mercado, nominal [2780]/Exportaciones de bienes y servicios, nominal [2687]/Exportaciones de bienes FOB, nominal [2688]'",Porcentaje Participación,Unidades,Anual
2723,"Sector Real/Producto Interno Bruto a precios de mercado, real [2698]/Producto Interno Bruto y Gasto a precios de mercado, real [2755]/Exportaciones de bienes y servicios, real [2722]/Exportaciones de bienes FOB, real [2723]'",Porcentaje Variación Interanual,Unidades,Anual
2762,"Sector Real/Producto Interno Bruto a precios de mercado, nominal [2730]/Producto Interno Bruto y Gasto a precios de mercado, nominal [2779]/Exportaciones de bienes y servicios, nominal [2761]/Exportaciones de bienes FOB, nominal [2762]'",Porcentaje Variación Interanual,Unidades,Anual
3462,Sector Externo/Balanza de Pagos Desglosada [3609]/Cuenta corriente [3456]/Bienes [3458]/Exportaciones FOB [3462]',Dólar EEUU,Millones,Trimestral
3650,Sector Externo/Exportaciones FOB [3650]',Dólar EEUU,,Mensual
3651,Sector Externo/Exportaciones FOB acumuladas [3651]',Dólar EEUU,,Mensual
19551,"Sector Real/Producto Interno Bruto a precios de mercado, real [4720]/Producto interno bruto a precios de mercado, real [4722]/Exportaciones de bienes y servicios, real [4752]/Exportaciones de bienes FOB, real porcentaje de variación in [19551]'",Porcentaje Variación Interanual,Millones,Trimestral
19552,"Sector Real/Producto Interno Bruto a precios de mercado, real, PPA [19720]/Producto Interno Bruto y Gasto a precios de mercado, real [19751]/Exportaciones de bienes FOB, real porcentaje de variación in [19552]'",Porcentaje Participación,Millones,Trimestral
19553,"Sector Real/Producto Interno Bruto a precios de mercado, real [19750]/Exportaciones de bienes FOB, real porcentaje de variación in [19553]'",Porcentaje Aporte Var. Interanual,Unidades,Trimestral
19562,"Sector Real/Producto Interno Bruto y Gasto a precios de mercado, nominal [4824]/Exportaciones de bienes y servicios, nominal [4854]/Exportaciones de bienes FOB, nominal, pvi [19562]'",Porcentaje Variación Interanual,Millones,Trimestral
19563,"Sector Real/Producto Interno Bruto y Gasto a precios de mercado, nominal [19752]/Exportaciones de bienes FOB, nominal, pvi [19563]'",Porcentaje Participación,Millones,Trimestral
19564,"Sector Real/Producto Interno Bruto y Gasto a precios de mercado, nominal [4823]/Exportaciones de bienes FOB, nominal, pvi [19564]'",Porcentaje Aporte Var. Interanual,Unidades,Trimestral
