codigo,nombre,descripcion,cuenta,periodo,unidad,medida,Unidad,Medida,freq,familia,node,DESCRIPCION
355,Activos externos,Activos externos,E07.01.00.00.00.00.00.00.00.M.CRC,Mensual,CRC,1,Colón Costarricense,,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Activos externos [355]'),Node('/BCCR/Sector Monetario y Financiero/Activos externos [355]')
486,Préstamos al exterior,Préstamos al exterior,E07.01.02.00.00.00.00.00.00.M.CRC,Mensual,CRC,1,Colón Costarricense,,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Activos externos [355]/Préstamos al exterior [486]'),Node('/BCCR/Sector Monetario y Financiero/Activos externos [355]/Préstamos al exterior [486]')
542,Títulos valores con el banco central,Títulos valores con el banco central,E07.02.03.00.00.00.00.00.00.M.CRC,Mensual,CRC,1,Colón Costarricense,,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Activos internos [1361]/Títulos valores con el banco central [542]'),Node('/BCCR/Sector Monetario y Financiero/Activos internos [1361]/Títulos valores con el banco central [542]')
608,Medio circulante,Medio circulante,E07.10.00.00.00.00.00.00.00.M.CRC,Mensual,CRC,1,Colón Costarricense,,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Medio circulante [608]'),Node('/BCCR/Sector Monetario y Financiero/Medio circulante [608]')
1302,Activos externos de reserva,Activos externos de reserva,E07.01.01.00.00.00.00.00.00.M.CRC,Mensual,CRC,1,Colón Costarricense,,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Activos externos [355]/Activos externos de reserva [1302]'),Node('/BCCR/Sector Monetario y Financiero/Activos externos [355]/Activos externos de reserva [1302]')
1303,Depósitos del Gob. Central por Subasta Conjunta en M/N,Depósitos del Gob. Central por Subasta Conjunta en M/N,E07.99.01.00.00.00.00.00.00.M.CRC,Mensual,CRC,4,Colón Costarricense,Millones,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Variables históricas [3764]/Depósitos del Gob. Central por Subasta Conjunta en M/N [1303]'),Node('/BCCR/Sector Monetario y Financiero/Variables históricas [3764]/Depósitos del Gob. Central por Subasta Conjunta en M/N [1303]')
1304,Banco central,Banco central,E07.07.01.00.00.00.00.00.00.M.CRC,Mensual,CRC,4,Colón Costarricense,Millones,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Banco central [1304]'),Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Banco central [1304]')
1306,Banco central,Banco central,E07.07.09.01.00.00.00.00.00.M.CRC,Mensual,CRC,4,Colón Costarricense,Millones,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Crédito corriente a la banca comercial [3640]/Banco central [1306]'),Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Crédito corriente a la banca comercial [3640]/Banco central [1306]')
1307,Banco central,Banco central,E07.07.04.01.00.00.00.00.00.M.CRC,Mensual,CRC,4,Colón Costarricense,Millones,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Crédito neto al Gobierno [3641]/Banco central [1307]'),Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Crédito neto al Gobierno [3641]/Banco central [1307]')
1308,Crédito corriente al gobierno,Crédito corriente al gobierno,E07.07.04.01.01.00.00.00.00.M.CRC,Mensual,CRC,4,Colón Costarricense,Millones,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Crédito neto al Gobierno [3641]/Banco central [1307]/Crédito corriente al gobierno [1308]'),Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Crédito neto al Gobierno [3641]/Banco central [1307]/Crédito corriente al gobierno [1308]')
1309,Crédito renegociado al gobierno,Crédito renegociado al gobierno,E07.07.04.01.02.00.00.00.00.M.CRC,Mensual,CRC,4,Colón Costarricense,Millones,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Crédito neto al Gobierno [3641]/Banco central [1307]/Crédito renegociado al gobierno [1309]'),Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Crédito neto al Gobierno [3641]/Banco central [1307]/Crédito renegociado al gobierno [1309]')
1310,Crédito redocumentado al gobierno,Crédito redocumentado al gobierno,E07.07.04.01.03.00.00.00.00.M.CRC,Mensual,CRC,4,Colón Costarricense,Millones,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Crédito neto al Gobierno [3641]/Banco central [1307]/Crédito redocumentado al gobierno [1310]'),Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Crédito neto al Gobierno [3641]/Banco central [1307]/Crédito redocumentado al gobierno [1310]')
1311,Banco central,Banco central,E07.07.05.01.00.00.00.00.00.M.CRC,Mensual,CRC,4,Colón Costarricense,Millones,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Crédito al resto del sector público [3638]/Banco central [1311]'),Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Crédito al resto del sector público [3638]/Banco central [1311]')
1312,Crédito corriente de banco central,Crédito corriente de banco central,E07.07.05.01.01.00.00.00.00.M.CRC,Mensual,CRC,4,Colón Costarricense,Millones,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Crédito al resto del sector público [3638]/Banco central [1311]/Crédito corriente de banco central [1312]'),Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Crédito al resto del sector público [3638]/Banco central [1311]/Crédito corriente de banco central [1312]')
1313,Crédito renegociado de banco central,Crédito renegociado de banco central,E07.07.05.01.02.00.00.00.00.M.CRC,Mensual,CRC,4,Colón Costarricense,Millones,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Crédito al resto del sector público [3638]/Banco central [1311]/Crédito renegociado de banco central [1313]'),Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Crédito al resto del sector público [3638]/Banco central [1311]/Crédito renegociado de banco central [1313]')
1314,Banco central,Banco central,E07.07.06.01.00.00.00.00.00.M.CRC,Mensual,CRC,4,Colón Costarricense,Millones,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Crédito al sector privado [3639]/Banco central [1314]'),Node('/BCCR/Sector Monetario y Financiero/Crédito interno total [1494]/Crédito al sector privado [3639]/Banco central [1314]')
1315,Banco central,Banco central,E07.01.01.01.00.00.00.00.00.M.USD,Mensual,USD,4,Dólar EEUU,Millones,M,M.USD,Node('/BCCR/Sector Monetario y Financiero/Banco central [1315]'),Node('/BCCR/Sector Monetario y Financiero/Banco central [1315]')
1361,Activos internos,Activos internos,E07.02.00.00.00.00.00.00.00.M.CRC,Mensual,CRC,1,Colón Costarricense,,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Activos internos [1361]'),Node('/BCCR/Sector Monetario y Financiero/Activos internos [1361]')
1362,Emisión monetaria,Emisión monetaria,E07.08.00.00.00.00.00.00.00.M.CRC,Mensual,CRC,4,Colón Costarricense,Millones,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Emisión monetaria [1362]'),Node('/BCCR/Sector Monetario y Financiero/Emisión monetaria [1362]')
1363,Base monetaria restringida,Base monetaria restringida,E07.09.01.01.00.00.00.00.00.M.CRC,Mensual,CRC,4,Colón Costarricense,Millones,M,M.CRC,Node('/BCCR/Sector Monetario y Financiero/Base monetaria [3621]/Base monetaria amplia [3622]/Base monetaria restringida [1363]'),Node('/BCCR/Sector Monetario y Financiero/Base monetaria [3621]/Base monetaria amplia [3622]/Base monetaria restringida [1363]')
