code,status,name,periodicidad,n,bloque_sondeo
2700,http_429,NA,NA,0,EXPORTS
2701,http_429,NA,NA,0,EXPORTS
2702,http_429,NA,NA,0,EXPORTS
2703,http_429,NA,NA,0,EXPORTS
2704,http_429,NA,NA,0,EXPORTS
2705,http_429,NA,NA,0,EXPORTS
2706,http_429,NA,NA,0,EXPORTS
2707,http_429,NA,NA,0,EXPORTS
2708,no_data,NA,NA,0,EXPORTS
2709,no_data,NA,NA,0,EXPORTS
2710,no_data,NA,NA,0,EXPORTS
2711,http_429,NA,NA,0,EXPORTS
2712,no_data,NA,NA,0,EXPORTS
2713,no_data,NA,NA,0,EXPORTS
2714,no_data,NA,NA,0,EXPORTS
2715,no_data,NA,NA,0,EXPORTS
2716,no_data,NA,NA,0,EXPORTS
2717,no_data,NA,NA,0,EXPORTS
2718,no_data,NA,NA,0,EXPORTS
2719,http_400,NA,NA,0,EXPORTS
2720,no_data,NA,NA,0,EXPORTS
2721,no_data,NA,NA,0,EXPORTS
2722,no_data,NA,NA,0,EXPORTS
2723,no_data,NA,NA,0,EXPORTS
2724,http_400,NA,NA,0,EXPORTS
2725,no_data,NA,NA,0,EXPORTS
2726,no_data,NA,NA,0,EXPORTS
2727,no_data,NA,NA,0,EXPORTS
2728,no_data,NA,NA,0,EXPORTS
2729,no_data,NA,NA,0,EXPORTS
2730,no_data,NA,NA,0,EXPORTS
2731,no_data,NA,NA,0,EXPORTS
2732,no_data,NA,NA,0,EXPORTS
2733,no_data,NA,NA,0,EXPORTS
2734,no_data,NA,NA,0,EXPORTS
2735,http_400,NA,NA,0,EXPORTS
2736,no_data,NA,NA,0,EXPORTS
2737,http_400,NA,NA,0,EXPORTS
2738,no_data,NA,NA,0,EXPORTS
2739,no_data,NA,NA,0,EXPORTS
2740,no_data,NA,NA,0,EXPORTS
2741,no_data,NA,NA,0,EXPORTS
2742,no_data,NA,NA,0,EXPORTS
2743,no_data,NA,NA,0,EXPORTS
2744,no_data,NA,NA,0,EXPORTS
2745,no_data,NA,NA,0,EXPORTS
2746,no_data,NA,NA,0,EXPORTS
2747,no_data,NA,NA,0,EXPORTS
2748,no_data,NA,NA,0,EXPORTS
2749,no_data,NA,NA,0,EXPORTS
2750,no_data,NA,NA,0,EXPORTS
2751,no_data,NA,NA,0,EXPORTS
2752,no_data,NA,NA,0,EXPORTS
2753,no_data,NA,NA,0,EXPORTS
2754,no_data,NA,NA,0,EXPORTS
2755,no_data,NA,NA,0,EXPORTS
2756,no_data,NA,NA,0,EXPORTS
2757,no_data,NA,NA,0,EXPORTS
2758,http_400,NA,NA,0,EXPORTS
2759,no_data,NA,NA,0,EXPORTS
2760,http_400,NA,NA,0,EXPORTS
2761,no_data,NA,NA,0,EXPORTS
2762,no_data,NA,NA,0,EXPORTS
2763,no_data,NA,NA,0,EXPORTS
2764,no_data,NA,NA,0,EXPORTS
2765,no_data,NA,NA,0,EXPORTS
2766,no_data,NA,NA,0,EXPORTS
2767,no_data,NA,NA,0,EXPORTS
2768,http_400,NA,NA,0,EXPORTS
2769,http_429,NA,NA,0,EXPORTS
2770,http_429,NA,NA,0,EXPORTS
2771,http_429,NA,NA,0,EXPORTS
2772,http_429,NA,NA,0,EXPORTS
2773,http_429,NA,NA,0,EXPORTS
2774,http_429,NA,NA,0,EXPORTS
2775,http_429,NA,NA,0,EXPORTS
2776,http_429,NA,NA,0,EXPORTS
2777,http_429,NA,NA,0,EXPORTS
2778,http_429,NA,NA,0,EXPORTS
2779,http_429,NA,NA,0,EXPORTS
2780,http_429,NA,NA,0,EXPORTS
2781,http_429,NA,NA,0,EXPORTS
2782,http_429,NA,NA,0,EXPORTS
2783,http_429,NA,NA,0,EXPORTS
2784,http_429,NA,NA,0,EXPORTS
2785,http_429,NA,NA,0,EXPORTS
2786,http_400,NA,NA,0,EXPORTS
2787,http_429,NA,NA,0,EXPORTS
2788,network_error,NA,NA,0,EXPORTS
2789,http_400,NA,NA,0,EXPORTS
2790,http_400,NA,NA,0,EXPORTS
2791,no_data,NA,NA,0,EXPORTS
2792,http_400,NA,NA,0,EXPORTS
2797,http_400,NA,NA,0,EXPORTS
2799,http_400,NA,NA,0,EXPORTS
2800,http_400,NA,NA,0,EXPORTS
2804,http_400,NA,NA,0,EXPORTS
2805,no_data,NA,NA,0,EXPORTS
2806,no_data,NA,NA,0,EXPORTS
2807,no_data,NA,NA,0,EXPORTS
2808,no_data,NA,NA,0,EXPORTS
2809,no_data,NA,NA,0,EXPORTS
2810,no_data,NA,NA,0,EXPORTS
2811,no_data,NA,NA,0,EXPORTS
2812,no_data,NA,NA,0,EXPORTS
2813,no_data,NA,NA,0,EXPORTS
2814,no_data,NA,NA,0,EXPORTS
2815,no_data,NA,NA,0,EXPORTS
2816,no_data,NA,NA,0,EXPORTS
2817,http_400,NA,NA,0,EXPORTS
2828,http_400,NA,NA,0,EXPORTS
2835,http_400,NA,NA,0,EXPORTS
2844,http_400,NA,NA,0,EXPORTS
2845,http_400,NA,NA,0,EXPORTS
2848,http_400,NA,NA,0,EXPORTS
2849,http_429,NA,NA,0,EXPORTS
2850,http_429,NA,NA,0,EXPORTS
2851,http_429,NA,NA,0,EXPORTS
2852,http_429,NA,NA,0,EXPORTS
2853,http_429,NA,NA,0,EXPORTS
2854,http_429,NA,NA,0,EXPORTS
2855,http_429,NA,NA,0,EXPORTS
2856,http_429,NA,NA,0,EXPORTS
2857,http_429,NA,NA,0,EXPORTS
2858,http_429,NA,NA,0,EXPORTS
2859,http_429,NA,NA,0,EXPORTS
2860,http_429,NA,NA,0,EXPORTS
2861,http_429,NA,NA,0,EXPORTS
2862,http_429,NA,NA,0,EXPORTS
2863,http_429,NA,NA,0,EXPORTS
2864,http_429,NA,NA,0,EXPORTS
2865,http_429,NA,NA,0,EXPORTS
2866,http_429,NA,NA,0,EXPORTS
2867,http_429,NA,NA,0,EXPORTS
2868,http_429,NA,NA,0,EXPORTS
2869,http_429,NA,NA,0,EXPORTS
2870,http_429,NA,NA,0,EXPORTS
2871,http_429,NA,NA,0,EXPORTS
2872,http_429,NA,NA,0,EXPORTS
2873,http_429,NA,NA,0,EXPORTS
2874,http_400,NA,NA,0,EXPORTS
2875,http_400,NA,NA,0,EXPORTS
2876,http_400,NA,NA,0,EXPORTS
2877,http_400,NA,NA,0,EXPORTS
2878,http_400,NA,NA,0,EXPORTS
2879,http_400,NA,NA,0,EXPORTS
2880,http_400,NA,NA,0,EXPORTS
2881,http_400,NA,NA,0,EXPORTS
2882,http_400,NA,NA,0,EXPORTS
2883,http_400,NA,NA,0,EXPORTS
2884,http_400,NA,NA,0,EXPORTS
2885,no_data,NA,NA,0,EXPORTS
2886,no_data,NA,NA,0,EXPORTS
2887,no_data,NA,NA,0,EXPORTS
2888,no_data,NA,NA,0,EXPORTS
2889,no_data,NA,NA,0,EXPORTS
2890,no_data,NA,NA,0,EXPORTS
2891,no_data,NA,NA,0,EXPORTS
2892,no_data,NA,NA,0,EXPORTS
2893,no_data,NA,NA,0,EXPORTS
2894,no_data,NA,NA,0,EXPORTS
2895,no_data,NA,NA,0,EXPORTS
2896,no_data,NA,NA,0,EXPORTS
2897,no_data,NA,NA,0,EXPORTS
2898,no_data,NA,NA,0,EXPORTS
2899,no_data,NA,NA,0,EXPORTS
2900,no_data,NA,NA,0,EXPORTS
25500,no_data,NA,NA,0,EXPORTS
25501,no_data,NA,NA,0,EXPORTS
25502,http_400,NA,NA,0,EXPORTS
25503,no_data,NA,NA,0,EXPORTS
25504,no_data,NA,NA,0,EXPORTS
25505,no_data,NA,NA,0,EXPORTS
25506,http_400,NA,NA,0,EXPORTS
25507,http_400,NA,NA,0,EXPORTS
25508,http_400,NA,NA,0,EXPORTS
25509,http_400,NA,NA,0,EXPORTS
25510,http_429,NA,NA,0,EXPORTS
25511,http_429,NA,NA,0,EXPORTS
25512,http_400,NA,NA,0,EXPORTS
25513,http_400,NA,NA,0,EXPORTS
25514,http_429,NA,NA,0,EXPORTS
25515,http_400,NA,NA,0,EXPORTS
25516,http_400,NA,NA,0,EXPORTS
25517,http_429,NA,NA,0,EXPORTS
25518,http_400,NA,NA,0,EXPORTS
25519,http_400,NA,NA,0,EXPORTS
25520,http_429,NA,NA,0,EXPORTS
25521,http_400,NA,NA,0,EXPORTS
25522,http_429,NA,NA,0,EXPORTS
25523,http_400,NA,NA,0,EXPORTS
25524,http_429,NA,NA,0,EXPORTS
25525,http_400,NA,NA,0,EXPORTS
25526,http_400,NA,NA,0,EXPORTS
25527,http_429,NA,NA,0,EXPORTS
25528,http_429,NA,NA,0,EXPORTS
25529,http_400,NA,NA,0,EXPORTS
25530,http_429,NA,NA,0,EXPORTS
25531,http_400,NA,NA,0,EXPORTS
25532,http_429,NA,NA,0,EXPORTS
25533,http_400,NA,NA,0,EXPORTS
25534,http_429,NA,NA,0,EXPORTS
25535,http_429,NA,NA,0,EXPORTS
25536,http_429,NA,NA,0,EXPORTS
25537,http_400,NA,NA,0,EXPORTS
25538,http_429,NA,NA,0,EXPORTS
25539,http_400,NA,NA,0,EXPORTS
25540,http_400,NA,NA,0,EXPORTS
25541,http_429,NA,NA,0,EXPORTS
25542,http_400,NA,NA,0,EXPORTS
25543,http_400,NA,NA,0,EXPORTS
25544,http_400,NA,NA,0,EXPORTS
25545,http_400,NA,NA,0,EXPORTS
25546,http_429,NA,NA,0,EXPORTS
25547,http_400,NA,NA,0,EXPORTS
25548,http_400,NA,NA,0,EXPORTS
25549,http_400,NA,NA,0,EXPORTS
25550,http_429,NA,NA,0,EXPORTS
25551,http_429,NA,NA,0,EXPORTS
25552,http_429,NA,NA,0,EXPORTS
25553,http_429,NA,NA,0,EXPORTS
25554,http_429,NA,NA,0,EXPORTS
25555,http_429,NA,NA,0,EXPORTS
25556,http_429,NA,NA,0,EXPORTS
25557,http_429,NA,NA,0,EXPORTS
25558,http_429,NA,NA,0,EXPORTS
25559,http_429,NA,NA,0,EXPORTS
25560,http_429,NA,NA,0,EXPORTS
25561,http_429,NA,NA,0,EXPORTS
25562,http_429,NA,NA,0,EXPORTS
25563,http_429,NA,NA,0,EXPORTS
25564,http_429,NA,NA,0,EXPORTS
25565,http_429,NA,NA,0,EXPORTS
25566,http_429,NA,NA,0,EXPORTS
25567,http_429,NA,NA,0,EXPORTS
25568,http_429,NA,NA,0,EXPORTS
25569,http_429,NA,NA,0,EXPORTS
25570,http_429,NA,NA,0,EXPORTS
25571,http_429,NA,NA,0,EXPORTS
25572,http_429,NA,NA,0,EXPORTS
25573,http_400,NA,NA,0,EXPORTS
25574,http_429,NA,NA,0,EXPORTS
25575,http_400,NA,NA,0,EXPORTS
25576,http_400,NA,NA,0,EXPORTS
25577,http_400,NA,NA,0,EXPORTS
25578,http_400,NA,NA,0,EXPORTS
25579,http_429,NA,NA,0,EXPORTS
25582,http_400,NA,NA,0,EXPORTS
25583,http_429,NA,NA,0,EXPORTS
25584,http_400,NA,NA,0,EXPORTS
25585,http_429,NA,NA,0,EXPORTS
25586,http_400,NA,NA,0,EXPORTS
25587,http_400,NA,NA,0,EXPORTS
25588,http_429,NA,NA,0,EXPORTS
25589,http_400,NA,NA,0,EXPORTS
25590,http_400,NA,NA,0,EXPORTS
25591,http_429,NA,NA,0,EXPORTS
25592,http_400,NA,NA,0,EXPORTS
25593,http_429,NA,NA,0,EXPORTS
25594,http_429,NA,NA,0,EXPORTS
25595,http_400,NA,NA,0,EXPORTS
25596,http_429,NA,NA,0,EXPORTS
25597,http_429,NA,NA,0,EXPORTS
25598,http_400,NA,NA,0,EXPORTS
25599,http_429,NA,NA,0,EXPORTS
25600,http_400,NA,NA,0,EXPORTS
25601,http_400,NA,NA,0,EXPORTS
