code,status,name,periodicidad,n,bloque_sondeo
95000,ok,Con orientación principal al mercado local,NA,3,IMAE-CIIU
95001,http_400,NA,NA,0,IMAE-CIIU
95002,ok,Resto,NA,3,IMAE-CIIU
95003,http_400,NA,NA,0,IMAE-CIIU
95004,http_400,NA,NA,0,IMAE-CIIU
95005,http_400,NA,NA,0,IMAE-CIIU
95006,http_400,NA,NA,0,IMAE-CIIU
95007,http_400,NA,NA,0,IMAE-CIIU
95008,http_400,NA,NA,0,IMAE-CIIU
95009,http_400,NA,NA,0,IMAE-CIIU
95010,http_400,NA,NA,0,IMAE-CIIU
95011,http_400,NA,NA,0,IMAE-CIIU
95012,ok,Extracción de minas y canteras. Nivel,NA,3,IMAE-CIIU
95013,ok,Industria manufacturera. Nivel,NA,3,IMAE-CIIU
95014,http_400,NA,NA,0,IMAE-CIIU
95015,ok,Régimen definitivo. Nivel,NA,3,IMAE-CIIU
95016,ok,Productos alimenticios diversos. Nivel,NA,3,IMAE-CIIU
95017,ok,"Textil, prendas vestir, industr cuero. Nivel",NA,3,IMAE-CIIU
95018,ok,"Papel, sus produc, imprent, editorial. Nivel",NA,3,IMAE-CIIU
95019,ok,"Sustancias quím, prod quím de petróleo. Nivel",NA,3,IMAE-CIIU
95020,ok,"Fabric prod metálicos, maquin y equipo. Nivel",NA,3,IMAE-CIIU
95021,ok,Otras industrias manufactureras. Nivel,NA,3,IMAE-CIIU
95022,ok,Regímenes especiales. Nivel,NA,3,IMAE-CIIU
95023,ok,Productos alimenticios diversos. Nivel,NA,3,IMAE-CIIU
95024,ok,"Textil, prendas vestir, industr cuero. Nivel",NA,3,IMAE-CIIU
95025,ok,"Papel, sus produc, imprent, editorial. Nivel",NA,3,IMAE-CIIU
95026,ok,Sustan quím y prod quím deriv petróleo. Nivel,NA,3,IMAE-CIIU
95027,ok,"Fabric prod metálicos, maquin y equipo. Nivel",NA,3,IMAE-CIIU
95028,ok,Instrum y suministros médic y dentales. Nivel,NA,3,IMAE-CIIU
95029,ok,Otras industrias manufactureras. Nivel,NA,3,IMAE-CIIU
95030,ok,"Electricidad, agua y serv. saneamiento. Nivel",NA,3,IMAE-CIIU
95031,ok,Construcción. Nivel,NA,3,IMAE-CIIU
95032,ok,Pública. Nivel,NA,3,IMAE-CIIU
95033,ok,Privada. Nivel,NA,3,IMAE-CIIU
95034,ok,Comercio. Nivel,NA,3,IMAE-CIIU
95035,ok,Índice mensual de actividad comercial. Nivel,NA,3,IMAE-CIIU
95036,ok,"Alimentos, bebidas y tabaco",NA,3,IMAE-CIIU
95037,ok,Productos químicos y farmacéuticos,NA,3,IMAE-CIIU
95038,ok,Materiales de construcción,NA,3,IMAE-CIIU
