bloque,seccion,moneda,regimen,codigo_sdde,etiqueta,status,n_obs,archivo,min_fecha,max_fecha,intentos_extra
imae_ciiu,TOTAL,NA,NA,95087,IMAE general (base 2017). Nivel,ok,195,cierre_v6/outputs/raw/imae_ciiu_TOTAL____.csv,2010-01-31,2026-03-31,0
imae_ciiu,A,NA,NA,95088,"Agricultura, silvicultura y pesca. Nivel",ok,195,cierre_v6/outputs/raw/imae_ciiu_A____.csv,2010-01-31,2026-03-31,0
imae_ciiu,B,NA,NA,95104,Extracción de minas y canteras. Nivel,ok,195,cierre_v6/outputs/raw/imae_ciiu_B____.csv,2010-01-31,2026-03-31,0
imae_ciiu,C,NA,NA,95105,Industria manufacturera. Nivel,ok,195,cierre_v6/outputs/raw/imae_ciiu_C____.csv,2010-01-31,2026-03-31,0
imae_ciiu,DE,NA,NA,95137,"Electricidad, agua y servicios de saneamiento. Nivel",ok,195,cierre_v6/outputs/raw/imae_ciiu_DE____.csv,2010-01-31,2026-03-31,0
imae_ciiu,F,NA,NA,95138,Construcción. Nivel,ok,195,cierre_v6/outputs/raw/imae_ciiu_F____.csv,2010-01-31,2026-03-31,0
imae_ciiu,G,NA,NA,95141,Comercio. Nivel,ok,195,cierre_v6/outputs/raw/imae_ciiu_G____.csv,2010-01-31,2026-03-31,0
imae_ciiu,H,NA,NA,95150,"Transporte, almacenamiento. Nivel",ok,195,cierre_v6/outputs/raw/imae_ciiu_H____.csv,2010-01-31,2026-03-31,0
imae_ciiu,I,NA,NA,95151,Actividades de alojamiento y servicios de comida. Nivel,ok,195,cierre_v6/outputs/raw/imae_ciiu_I____.csv,2010-01-31,2026-03-31,0
imae_ciiu,J,NA,NA,95152,Información y comunicaciones. Nivel,ok,195,cierre_v6/outputs/raw/imae_ciiu_J____.csv,2010-01-31,2026-03-31,0
imae_ciiu,K,NA,NA,95153,Actividades financieras y de seguros. Nivel,ok,195,cierre_v6/outputs/raw/imae_ciiu_K____.csv,2010-01-31,2026-03-31,0
imae_ciiu,L,NA,NA,95154,Actividades inmobiliarias. Nivel,ok,195,cierre_v6/outputs/raw/imae_ciiu_L____.csv,2010-01-31,2026-03-31,0
imae_ciiu,MN,NA,NA,95155,"Profesional, científico, técnico, administrativo y servicios de apoyo. Nivel",ok,195,cierre_v6/outputs/raw/imae_ciiu_MN____.csv,2010-01-31,2026-03-31,0
imae_ciiu,O,NA,NA,95156,Administración pública y planes de seguridad social. Nivel,ok,195,cierre_v6/outputs/raw/imae_ciiu_O____.csv,2010-01-31,2026-03-31,0
imae_ciiu,PQ,NA,NA,95157,Enseñanza y actividades de la salud humana. Nivel,ok,195,cierre_v6/outputs/raw/imae_ciiu_PQ____.csv,2010-01-31,2026-03-31,0
imae_ciiu,RS,NA,NA,95158,Otras actividades. Nivel,ok,195,cierre_v6/outputs/raw/imae_ciiu_RS____.csv,2010-01-31,2026-03-31,0
