sector_sbn,MN_avg,ME_avg,total,sigma_C_obs_si_hip_correcta,MN_avg_corregido,ME_avg_corregido,sigma_C_obs
AGRO,344978.1253856792,228034.94406062167,573013.0694463009,0.3979576666217587,228034.94406062167,344978.1253856792,0.6020423333782413
INDUSTRIA,NA,NA,NA,NA,NA,NA,NA
CONSTRUCCION,162770.58104797418,363082.8399805525,525853.4210285267,0.6904639685910797,363082.8399805525,162770.58104797418,0.30953603140892016
COMERCIO_REST_HOT,1118592.1216749349,1531017.8380383484,2649609.959713283,0.5778276279592568,1531017.8380383484,1118592.1216749349,0.42217237204074326
TRANSP_COMUNIC,0,0,NA,NA,0,0,NA
SERVICIOS,NA,NA,NA,NA,NA,NA,NA
OTROS_SERVICIOS,1527169.6537182159,2031118.7242649808,3558288.3779831966,0.5708134104117214,2031118.7242649808,1527169.6537182159,0.42918658958827866
VIVIENDA,3280839.6193128177,1768759.3953234658,5049599.014636284,0.3502771982877669,1768759.3953234658,3280839.6193128177,0.6497228017122331
CONSUMO,NA,NA,NA,NA,NA,NA,NA
OTROS_PRESTAMOS,363771.31619553664,277791.8815305433,641563.19772608,0.4329922329010346,277791.8815305433,363771.31619553664,0.5670077670989654
