sector,media_MN,media_ME,n_obs_MN,n_obs_ME,sigma_C,ventana
CONSTRUCCION,162446.25973190842,384308.0569038379,19,19,0.7028898450560713,2024-01-31 a 2025-07-31
OTROS_SERVICIOS,1527130.1087882468,2122285.4691622085,19,19,0.5815411875766977,2024-01-31 a 2025-07-31
SERVICIOS_AGG,1527130.1087882468,2122285.4691622085,19,19,0.5815411875766977,2024-01-31 a 2025-07-31
COMERCIO_REST_HOT,1136350.5481827164,1563057.6084987174,19,19,0.5790371510250938,2024-01-31 a 2025-07-31
INDUSTRIA_AGG,630415.1692787074,762966.3674657142,19,19,0.5475645739130099,2024-01-31 a 2025-07-31
INDUSTRIA_OTRAS,467968.90954679897,378658.31056187634,19,19,0.44725506287557204,2024-01-31 a 2025-07-31
OTROS_PRESTAMOS,369451.81564011576,282200.0419582537,19,19,0.4330533837474015,2024-01-31 a 2025-07-31
AGRO,345032.3290787784,233153.4246080916,19,19,0.4032500336117954,2024-01-31 a 2025-07-31
TOTAL,11372849.653191352,7530702.086094749,19,19,0.3983749821174689,2024-01-31 a 2025-07-31
VIVIENDA,3352707.1680048215,1690265.5245998357,19,19,0.3351724523669444,2024-01-31 a 2025-07-31
CONSUMO_OTROS,4011762.5142179653,876773.6498019284,19,19,0.1793530047409833,2024-01-31 a 2025-07-31
CONSUMO_AGG,4011762.5142179653,876773.6498019284,19,19,0.1793530047409833,2024-01-31 a 2025-07-31
CONSUMO_TARJETAS,0,0,19,19,NA,2024-01-31 a 2025-07-31
TRANSP_COMUNIC,0,0,19,19,NA,2024-01-31 a 2025-07-31
