sector,anio,MN,ME,sigma_C
CONSUMO_TARJETAS,2010,0,0,NA
CONSUMO_TARJETAS,2011,0,0,NA
CONSUMO_TARJETAS,2012,0,0,NA
CONSUMO_TARJETAS,2013,0,0,NA
CONSUMO_TARJETAS,2014,0,0,NA
CONSUMO_TARJETAS,2015,0,0,NA
CONSUMO_TARJETAS,2016,0,0,NA
CONSUMO_TARJETAS,2017,0,0,NA
CONSUMO_TARJETAS,2018,0,0,NA
CONSUMO_TARJETAS,2019,0,0,NA
CONSUMO_TARJETAS,2020,0,0,NA
CONSUMO_TARJETAS,2021,0,0,NA
CONSUMO_TARJETAS,2022,0,0,NA
CONSUMO_TARJETAS,2023,0,0,NA
CONSUMO_TARJETAS,2024,0,0,NA
CONSUMO_TARJETAS,2025,0,0,NA
TOTAL,2010,3643003.24423012,3085017.0455750166,0.45853266082590366
TOTAL,2011,4063483.516592145,3394074.569471175,0.4551187574139073
TOTAL,2012,4486456.466769713,3909155.7410140373,0.4656189023821009
TOTAL,2013,4744992.137610058,4603834.804856763,0.49245053237042546
TOTAL,2014,5553323.01674281,5538256.600668715,0.4993208173860808
TOTAL,2015,6175336.240669268,6098232.211929003,0.49685894004510395
TOTAL,2016,6804350.067805391,6925723.634341627,0.5044199896216601
TOTAL,2017,7811973.75338422,7407849.946609423,0.4867237684633966
TOTAL,2018,8268135.8781235255,7628274.31032413,0.4798740231217612
TOTAL,2019,8546649.256683936,7452817.607746813,0.4658166219472951
TOTAL,2020,8541641.846020227,7396862.096152455,0.4640876033904685
TOTAL,2021,8953693.347390316,7463398.109983552,0.45461147179217953
TOTAL,2022,9842646.10261717,7721280.149633813,0.43961014403850945
TOTAL,2023,10301101.635470172,6947499.861952408,0.4027862701211201
TOTAL,2024,11071867.039224682,7397535.379394729,0.40052922188414236
TOTAL,2025,11888819.848562784,7758987.86900907,0.3949034915518785
